"Environment and Climate Change Canada"
"Monthly Values for January - 2011"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","-0.9","0",NA,"9.3","0","-13.4","0","",,NA,"109.8","0",NA,"1.0","16","",,NA,"585.5","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","-1.6","0",NA,"6.7","0","-16.0","0","",,NA,"",,NA,"","","",,NA,"607.1","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","0.0","0",NA,"9.8","0","-14.0","0","",,NA,"68.1","0",NA,"","11","",,NA,"556.5","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","-4.0","0",NA,"4.9","0","-20.6","0","",,NA,"86.1","1",NA,"33.0","13","",,NA,"683.2","0.0","8200774"
"CHETICAMP CS","46.645","-60.947","NS","-2.0","0",NA,"5.7","0","-15.4","0","",,NA,"127.8","2",NA,"","17","",,NA,"619.9","0.0","8200827"
"DEBERT","45.417","-63.467","NS","-6.0","0",NA,"5.9","0","-23.8","0","",,NA,"69.1","0",NA,"24.0","11","",,NA,"744.7","0.0","8201390"
"GREENWOOD A","44.983","-64.917","NS","-4.5","0","1.0","6.3","0","-18.5","0","92.6","0","118.0","88.7","0","87.0","35.0","13","",,NA,"697.7","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.880","-63.500","NS","-4.6","0","1.3","6.1","0","-19.1","0","61.4","0","105.0","112.4","0","84.0","11.0","13","",,NA,"700.9","0.0","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","-1.5","0",NA,"7.6","0","-17.9","0","",,NA,"",,NA,"","","",,NA,"604.8","0.0","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","-2.3","0",NA,"9.1","0","-16.1","0","",,NA,"199.4","0",NA,"13.0","15","",,NA,"628.8","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","-4.9","0",NA,"8.4","0","-18.6","0","",,NA,"137.5","1",NA,"42.0","19","",,NA,"710.5","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","-4.8","0",NA,"5.5","0","-18.8","0","",,NA,"85.7","0",NA,"40.0","11","",,NA,"705.9","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","-4.0","12",NA,"5.0","12","-18.5","12","17.0","12",NA,"41.2","12",NA,"5.0","4","","",NA,"417.4","0.0","8202896"
"LIVERPOOL BIG FALLS","44.133","-64.933","NS","-3.0","3","1.6","8.0","2","-17.0","2","41.4","2",NA,"151.0","2",NA,"17.0","14","","",NA,"586.9","0.0","8203100"
"LYONS BROOK","45.658","-62.797","NS","-4.7","4","1.6","5.0","4","-22.0","4","97.5","3",NA,"112.5","3",NA,"40.0","15","","",NA,"612.4","0.0","8203230"
"NAPPAN AUTO","45.760","-64.241","NS","-6.7","0",NA,"4.4","0","-22.1","0","",,NA,"107.1","0",NA,"66.0","17","",,NA,"764.9","0.0","8203702"
