Environment and Climate Change Canada,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Values for October - 2008,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,
Stn_Name,Station Name,,,,,,,,,,,,,,,,,,,,,,,
Lat,"Latitude (North + , degrees)",,,,,,,,,,,,,,,,,,,,,,,
Long,"Longitude (West - , degrees)",,,,,,,,,,,,,,,,,,,,,,,
Prov,Province,,,,,,,,,,,,,,,,,,,,,,,
Tm,Mean Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTm,Days without Valid Mean Temperature,,,,,,,,,,,,,,,,,,,,,,,
D,Mean Temperature difference from Normal (1981-2010) (°C),,,,,,,,,,,,,,,,,,,,,,,
Tx,Highest Monthly Maximum Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTx,Days without Valid Maximum Temperature,,,,,,,,,,,,,,,,,,,,,,,
Tn,Lowest Monthly Minimum Temperature (°C),,,,,,,,,,,,,,,,,,,,,,,
DwTn,Days without Valid Minimum Temperature,,,,,,,,,,,,,,,,,,,,,,,
S,Snowfall (cm),,,,,,,,,,,,,,,,,,,,,,,
DwS,Days without Valid Snowfall,,,,,,,,,,,,,,,,,,,,,,,
S%N,Percent of Normal (1981-2010) Snowfall,,,,,,,,,,,,,,,,,,,,,,,
P,Total Precipitation (mm),,,,,,,,,,,,,,,,,,,,,,,
DwP,Days without Valid Precipitation,,,,,,,,,,,,,,,,,,,,,,,
P%N,Percent of Normal (1981-2010) Precipitation,,,,,,,,,,,,,,,,,,,,,,,
S_G,Snow on the ground at the end of the month (cm),,,,,,,,,,,,,,,,,,,,,,,
Pd,Number of days with Precipitation 1.0 mm or more,,,,,,,,,,,,,,,,,,,,,,,
BS,Bright Sunshine (hours),,,,,,,,,,,,,,,,,,,,,,,
DwBS,Days without Valid Bright Sunshine,,,,,,,,,,,,,,,,,,,,,,,
BS%,Percent of Normal (1981-2010) Bright Sunshine,,,,,,,,,,,,,,,,,,,,,,,
HDD,Degree Days below 18 °C,,,,,,,,,,,,,,,,,,,,,,,
CDD,Degree Days above 18 °C,,,,,,,,,,,,,,,,,,,,,,,
Clim_ID,Climate Identifier,,,,,,,,,,,,,,,,,,,,,,,
NA,Not Available,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID
BACCARO PT,43.451,-65.472,NS,10.1,0,NA,16.4,0,1,0,,,NA,79.5,0,NA,,8,,,NA,246.1,0,8200255
BADDECK BELL,46.1,-60.75,NS,8.7,0,NA,19.5,0,-2,0,0,0,NA,100.6,0,NA,0,16,,,NA,289.6,0,8200301
BEAVER ISLAND (AUT),44.817,-62.333,NS,10.3,0,NA,17,0,2.4,0,,,NA,,,NA,,,,,NA,238.7,0,8200558
BERWICK,45.083,-64.733,NS,8.7,4,NA,19,4,-5,4,0,4,NA,38,4,NA,,5,,,NA,250.8,0,8200578
BRIDGETOWN,44.833,-65.3,NS,,,NA,,,,,0,0,NA,87.6,0,NA,,11,,,NA,,,8200596
BRIDGEWATER,44.4,-64.55,NS,9.2,0,0.3,19,0,-3.5,0,0,0,0,78.2,0,57,,10,,,NA,273.5,0,8200600
BRIER ISLAND,44.286,-66.347,NS,11.7,0,NA,18.6,0,4.3,0,,,NA,146.1,0,NA,,10,,,NA,195.5,0,8200604
CARIBOU POINT (AUT),45.767,-62.683,NS,9.8,0,NA,17.5,0,1.2,0,,,NA,47.6,0,NA,,10,,,NA,254.4,0,8200774
CHARLESVILLE,43.583,-65.783,NS,9.2,0,-1,17.5,0,0,0,0,0,NA,72.7,0,73,,11,,,NA,273.4,0,8200810
CHETICAMP CS,46.645,-60.947,NS,9.1,0,NA,18.9,0,-0.9,0,,,NA,108.3,6,NA,,14,,,NA,275.5,0,8200827
COLLEGEVILLE,45.483,-62.017,NS,8,0,-0.2,18,0,-4,0,0,0,0,95.4,0,68,0,15,,,NA,308.7,0,8201000
DEBERT,45.417,-63.467,NS,7.8,1,NA,18.2,1,-5,0,,,NA,96.8,0,NA,,24,,,NA,305,0,8201390
DEMING,45.216,-61.178,NS,10.8,0,0.7,19,0,3.5,0,0,0,NA,68.8,0,48,0,10,,,NA,222.7,0,8201410
GREENWOOD A,44.983,-64.917,NS,9.2,0,0.5,20.1,0,-3.7,0,0,0,0,64,0,65,0,9,,,NA,271.9,0,8202000
HALIFAX STANFIELD INT'L A,44.883,-63.517,NS,8.9,0,0.2,17.6,0,-0.9,0,0,0,0,84.7,0,68,0,11,,,NA,282.2,0,8202250
HART ISLAND (AUT),45.35,-60.983,NS,10.4,1,NA,17.2,1,2.6,0,,,NA,,,NA,,,,,NA,226.9,0,8202318
INGONISH BEACH CS,46.667,-60.4,NS,8.8,0,NA,18.1,0,-0.1,0,1,30,NA,101.3,0,NA,,12,,,NA,284.7,0,8202502
KEJIMKUJIK 1,44.403,-65.203,NS,8.4,0,NA,17.9,0,-1.4,0,,,NA,102,0,NA,,8,,,NA,297.7,0,8202592
KENTVILLE CDA,45.067,-64.483,NS,,,,,,,,,,NA,,,NA,,,162.2,0,115,,,8202800
