"Environment and Climate Change Canada"
"Monthly Values for October - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","10.3","0",NA,"18.3","0","-0.6","0","",,NA,"155.5","0",NA,"","7","",,NA,"238.9","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","9.7","8",NA,"17.5","8","-0.5","8","",,NA,"",,NA,"","","",,NA,"189.8","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","10.4","0",NA,"17.4","0","2.2","0","",,NA,"74.1","0",NA,"","7","",,NA,"237.0","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","9.4","0",NA,"22.2","0","-0.8","0","",,NA,"133.1","0",NA,"","12","",,NA,"266.8","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","8.5","30","-1.7","8.5","30","-3.5","4","0.0","4",NA,"0.0","4",NA,"","0","","",NA,"9.5","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","8.6","1",NA,"21.9","1","-0.4","1","",,NA,"111.7","2",NA,"","14","",,NA,"283.2","0.0","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","8.3","0","0.1","24.0","0","-6.0","0","0.0","0","0.0","0.0","0","0.0","","0","","",NA,"301.0","1.5","8201000"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","7.6","7",NA,"21.3","7","-6.8","5","",,NA,"171.8","7",NA,"","10","",,NA,"249.8","0.0","8201001"
"DEBERT","45.417","-63.467","NS","7.5","1",NA,"21.4","1","-5.6","0","",,NA,"107.2","1",NA,"","9","",,NA,"315.0","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","9.2","3",NA,"20.3","1","-0.8","2","",,NA,"129.2","3",NA,"","12","",,NA,"247.4","0.0","8201780"
