"Environment and Climate Change Canada"
"Monthly Values for November - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","7.4","2",NA,"15.4","2","-7.4","0","",,NA,"127.0","2",NA,"","9","",,NA,"295.7","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","6.1","0",NA,"13.7","0","-4.6","0","",,NA,"",,NA,"","","",,NA,"356.2","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","7.4","2",NA,"14.6","2","-3.9","0","",,NA,"88.0","2",NA,"","9","",,NA,"298.0","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","5.7","1",NA,"18.4","1","-4.8","0","",,NA,"101.9","1",NA,"0.0","11","",,NA,"355.9","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","",,"","",,"-3.5","11","0.0","11",NA,"0.0","11",NA,"","0","","",NA,"","","8200810"
"CHETICAMP CS","46.645","-60.947","NS","4.6","1",NA,"18.3","1","-7.0","0","",,NA,"142.3","1",NA,"1.0","17","",,NA,"388.1","0.0","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","4.6","0","1.4","17.0","0","-10.0","0","0.0","0","0.0","0.0","0","0.0","","0","","",NA,"400.9","0.0","8201000"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","3.4","7",NA,"17.6","7","-10.7","6","",,NA,"125.2","7",NA,"0.0","10","",,NA,"336.7","0.0","8201001"
"DEBERT","45.417","-63.467","NS","4.1","1",NA,"17.2","1","-11.2","0","",,NA,"127.6","1",NA,"0.0","10","",,NA,"403.6","0.0","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","4.0","13",NA,"16.2","10","-6.0","10","",,NA,"22.8","13",NA,"0.0","2","",,NA,"238.8","0.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","5.3","0","1.3","17.9","0","-9.8","0","1.0","0","6.0","136.5","0","117.0","0.0","9","",,NA,"382.2","0.0","8202000"
