"Environment and Climate Change Canada"
"Monthly Values for December - 2010"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","2.3","1",NA,"12.6","1","-6.9","0","",,NA,"196.8","0",NA,"","17","",,NA,"471.0","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","3.3","0",NA,"10.6","0","-7.1","0","",,NA,"",,NA,"","","",,NA,"456.2","0.0","8200558"
"BRIDGETOWN","44.833","-65.300","NS","",,NA,"",,"",,"29.0","0",NA,"155.6","0",NA,"0.0","16","","",NA,"","","8200596"
"BRIDGEWATER","44.400","-64.550","NS","1.5","0","3.2","14.0","0","-8.0","0","1.3","0","4.0","214.1","0","145.0","7.0","14","","",NA,"512.0","0.0","8200600"
"BRIER ISLAND","44.286","-66.347","NS","3.6","0",NA,"17.2","0","-4.0","0","",,NA,"190.8","0",NA,"","18","",,NA,"445.3","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","2.6","0",NA,"13.9","0","-6.1","0","",,NA,"135.0","0",NA,"5.0","16","",,NA,"476.4","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","2.2","4","1.3","15.5","4","-6.0","4","0.0","4",NA,"132.7","4",NA,"0.0","8","","",NA,"426.4","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","4.0","0",NA,"13.6","0","-3.3","0","",,NA,"334.9","0",NA,"","22","",,NA,"433.0","0.0","8200827"
"DEBERT","45.417","-63.467","NS","0.8","0",NA,"15.4","0","-13.4","0","",,NA,"173.1","0",NA,"3.0","18","",,NA,"532.7","0.0","8201390"
"DEMING","45.216","-61.178","NS","3.9","2","4.1","11.5","1","-5.0","2","3.0","1",NA,"176.6","1",NA,"","15","","",NA,"410.3","0.0","8201410"
