"Environment and Climate Change Canada"
"Monthly Values for February - 2010"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","-0.4","0",NA,"5.8","0","-12.3","0","",,NA,"128.3","1",NA,"","8","",,NA,"516.4","0.0","8200255"
"BADDECK BELL","46.100","-60.750","NS","-0.9","0",NA,"5.5","0","-16.0","0","49.1","0",NA,"78.6","0",NA,"24.0","16","","",NA,"529.6","0.0","8200301"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","-2.1","0",NA,"3.7","0","-16.7","0","",,NA,"",,NA,"","","",,NA,"563.8","0.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","1.4","0",NA,"9.6","0","-9.6","0","",,NA,"127.5","0",NA,"","18","",,NA,"465.6","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","-3.8","0",NA,"2.7","0","-19.2","0","54.0","20",NA,"47.0","0",NA,"18.0","10","",,NA,"609.3","0.0","8200774"
"CHETICAMP CS","46.645","-60.947","NS","-1.6","0",NA,"5.9","0","-15.7","0","52.0","13",NA,"122.4","0",NA,"36.0","19","",,NA,"550.0","0.0","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","-3.5","1","2.6","5.5","1","-25.0","1","24.8","1",NA,"59.2","1",NA,"","8","","",NA,"580.3","0.0","8201000"
"DEBERT","45.417","-63.467","NS","-3.7","0",NA,"6.7","0","-25.6","0","",,NA,"25.9","0",NA,"","7","",,NA,"608.4","0.0","8201390"
"DEMING","45.216","-61.178","NS","-1.5","1","2.6","3.0","1","-17.0","1","20.0","1",NA,"90.4","1",NA,"0.0","9","","",NA,"527.7","0.0","8201410"
"GREENWOOD A","44.983","-64.917","NS","-2.3","0","2.6","7.2","0","-21.3","0","43.0","0","81.0","118.4","0","140.0","5.0","11","",,NA,"567.3","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.883","-63.517","NS","-3.2","0","2.0","4.2","0","-19.9","0","43.3","0","95.0","72.0","0","68.0","0.0","8","",,NA,"592.3","0.0","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","-2.2","0",NA,"3.4","0","-16.4","0","",,NA,"",,NA,"","","",,NA,"566.6","0.0","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","-1.5","0",NA,"4.7","0","-15.3","0","49.0","18",NA,"86.9","0",NA,"31.0","16","",,NA,"546.3","0.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","-3.0","0",NA,"4.9","0","-19.3","0","",,NA,"135.4","0",NA,"7.0","14","",,NA,"588.9","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","-2.3","0",NA,"7.0","0","-20.4","0","46.0","19",NA,"88.5","0",NA,"16.0","10","",,NA,"567.3","0.0","8202810"
"LAKE MAJOR","44.717","-63.483","NS","-1.6","18",NA,"4.5","18","-20.0","18","0.0","18",NA,"42.1","18",NA,"","2","","",NA,"196.0","0.0","8202896"
"LIVERPOOL BIG FALLS","44.133","-64.933","NS","-2.9","2","0.7","5.5","2","-18.0","1","37.8","2",NA,"137.6","2",NA,"0.0","8","","",NA,"543.1","0.0","8203100"
"LYONS BROOK","45.658","-62.797","NS","-3.8","5","2.1","5.5","5","-20.0","5","48.5","5",NA,"65.5","5",NA,"","11","","",NA,"501.0","0.0","8203230"
"NAPPAN AUTO","45.760","-64.241","NS","-3.5","0",NA,"6.0","0","-24.8","0","",,NA,"42.7","0",NA,"14.0","12","",,NA,"601.3","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","-5.1","1",NA,"-0.6","1","-18.2","0","",,NA,"45.2","1",NA,"","9","",,NA,"623.1","0.0","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","-3.8","0",NA,"5.8","0","-27.0","0","",,NA,"44.7","0",NA,"1.0","5","",,NA,"610.1","0.0","8204193"
"PARRSBORO","45.413","-64.347","NS","-3.2","0",NA,"6.0","0","-25.2","0","",,NA,"34.7","0",NA,"","10","",,NA,"592.7","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","-3.6","11","1.6","4.0","11","-19.0","11","53.0","11",NA,"97.9","11",NA,"0.0","9","","",NA,"366.6","0.0","8204453"
"POINT ACONI","46.317","-60.333","NS","-2.0","0",NA,"3.2","0","-17.7","0","56.0","0",NA,"74.1","0",NA,"","14","","",NA,"561.2","0.0","8204456"
"PUGWASH","45.843","-63.655","NS","-5.1","20","0.9","3.0","20","-27.0","20","0.0","20",NA,"0.0","20",NA,"","0","","",NA,"184.6","0.0","8204525"
"SABLE ISLAND","43.932","-60.009","NS","0.8","5",NA,"7.0","4","-10.8","4","",,NA,"39.5","7",NA,"","6","",,NA,"396.2","0.0","8204700"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","-2.4","2",NA,"1.9","2","-12.7","0","",,NA,"",,NA,"","","",,NA,"531.0","0.0","8204909"
"SHEARWATER AUTO","44.636","-63.507","NS","-2.2","0",NA,"4.9","0","-17.8","0","",,NA,"62.6","0",NA,"","5","",,NA,"565.5","0.0","8205091"
"SHEARWATER RCS","44.630","-63.513","NS","-1.9","1",NA,"5.2","1","-17.3","0","",,NA,"75.7","1",NA,"","4","",,NA,"537.2","0.0","8205092"
"SYDNEY A","46.167","-60.048","NS","-2.5","0","3.4","3.0","0","-16.8","0","60.3","0","92.0","65.3","0","51.0","22.0","9","",,NA,"575.1","0.0","8205700"
