"Environment and Climate Change Canada"
"Monthly Values for March - 2005"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"AMHERST (AUT)","45.850","-64.267","NS","-2.3","3",NA,"10.4","3","-13.3","1","",,NA,"59.8","17",NA,"","5","",,NA,"568.8","0.0","8200091"
"BADDECK BELL","46.100","-60.750","NS","-2.0","0",NA,"8.0","0","-19.0","0","35.2","0",NA,"194.2","0",NA,"0.0","15","","",NA,"621.3","0.0","8200301"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","-0.5","0",NA,"7.4","0","-9.0","0","",,NA,"",,NA,"","","",,NA,"572.4","0.0","8200558"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","-2.2","0",NA,"10.0","0","-12.4","0","",,NA,"77.5","0",NA,"3.0","15","",,NA,"627.6","0.0","8200774"
"CHETICAMP CS","46.645","-60.947","NS","-1.7","0",NA,"10.6","0","-15.9","0","",,NA,"161.4","0",NA,"7.0","14","","",NA,"611.5","0.0","8200827"
"DEBERT","45.417","-63.467","NS","-2.2","0",NA,"10.7","0","-18.3","0","",,NA,"125.0","0",NA,"0.0","12","",,NA,"627.1","0.0","8201390"
"GREENWOOD A","44.983","-64.917","NS","-0.9","0","-0.2","12.1","0","-20.5","0","62.6","0","144.0","95.9","0","101.0","0.0","12","",,NA,"585.3","0.0","8202000"
"HALIFAX STANFIELD INT'L A","44.883","-63.517","NS","-1.6","0","-0.3","10.2","0","-12.6","0","26.4","0","71.0","148.2","0","123.0","0.0","13","",,NA,"607.3","0.0","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","-1.3","0",NA,"6.5","0","-11.2","0","",,NA,"",,NA,"","","",,NA,"597.4","0.0","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","-1.2","0",NA,"9.5","0","-15.6","0","",,NA,"184.6","0",NA,"26.0","17","",,NA,"594.1","0.0","8202502"
"KEJIMKUJIK 1","44.432","-65.203","NS","-0.1","0",NA,"12.6","0","-13.9","0","",,NA,"135.4","0",NA,"0.0","9","",,NA,"561.0","0.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","-1.0","0",NA,"11.4","0","-15.9","0","",,NA,"89.6","0",NA,"0.0","9","","",NA,"589.7","0.0","8202810"
"LYONS BROOK","45.658","-62.797","NS","-1.8","0","-0.1","11.0","0","-16.0","0","67.5","0","135.0","121.5","0","121.0","0.0","16","","",NA,"613.7","0.0","8203230"
"MALAY FALLS","44.983","-62.483","NS","-3.7","16",NA,"8.4","16","-19.2","16","",,NA,"48.6","16",NA,"","6","","",NA,"324.8","0.0","8203405"
"NAPPAN CDA","45.767","-64.250","NS","-2.1","0","0.1","11.3","0","-16.3","0","",,NA,"87.4","0","83.0","0.0","14","","",NA,"621.7","0.0","8203700"
"NAPPAN AUTO","45.760","-64.241","NS","-2.3","0",NA,"11.3","0","-16.3","0","",,NA,"82.3","1",NA,"","15","",,NA,"630.6","0.0","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","-3.4","0",NA,"12.5","0","-15.9","0","",,NA,"274.2","0",NA,"168.0","18","","",NA,"664.4","0.0","8204161"
"PARRSBORO","45.413","-64.347","NS","-2.4","0",NA,"8.9","0","-20.8","0","",,NA,"111.9","0",NA,"3.0","12","",,NA,"632.3","0.0","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","-2.0","6","-0.7","10.5","2","-14.5","5","10.2","0","28.0","111.8","0","80.0","0.0","8","","",NA,"500.0","0.0","8204453"
"POINT ACONI","46.317","-60.333","NS","-2.7","8",NA,"8.8","7","-15.7","7","42.0","0",NA,"83.8","0",NA,"","12","","",NA,"476.5","0.0","8204456"
"PUGWASH","45.843","-63.655","NS","-1.9","0","-0.2","12.0","0","-18.5","0","27.0","0","76.0","76.1","0","98.0","0.0","9","","",NA,"615.6","0.0","8204525"
"SABLE ISLAND","43.932","-60.009","NS","0.4","0",NA,"8.4","0","-7.9","0","",,NA,"47.5","4",NA,"","10","",,NA,"544.2","0.0","8204700"
"SABLE ISLAND","43.933","-60.017","NS","0.6","0",NA,"8.4","0","-7.9","0","34.3","0",NA,"112.6","0",NA,"0.0","13","","",NA,"538.1","0.0","8204701"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","-2.5","0",NA,"4.7","0","-13.2","0","",,NA,"",,NA,"","","",,NA,"635.6","0.0","8204909"
"SHEARWATER A","44.633","-63.500","NS","-0.5","0","0.2","8.0","0","-12.3","0","35.1","0","113.0","136.8","0","109.0","0.0","11","145.7","0","102.0","573.3","0.0","8205090"
"SHEARWATER AUTO","44.636","-63.507","NS","-0.3","1",NA,"8.1","0","-12.1","1","",,NA,"117.5","1",NA,"","7","",,NA,"548.1","0.0","8205091"
"SOUTH SIDE HARBOUR","45.617","-61.900","NS","-1.8","0",NA,"9.9","0","-16.2","0","34.6","0",NA,"124.0","0",NA,"4.0","8","","",NA,"614.9","0.0","8205193"
"SYDNEY A","46.167","-60.048","NS","-2.7","0","-0.1","6.9","0","-14.9","0","66.4","0","138.0","200.8","0","154.0","7.0","17","",,NA,"642.3","0.0","8205700"
"TRACADIE","45.608","-61.680","NS","-2.2","0",NA,"10.4","0","-13.2","0","",,NA,"114.4","0",NA,"4.0","10","",,NA,"627.5","0.0","8205895"
"TRURO (AUT)","45.367","-63.267","NS","-2.5","1",NA,"10.8","0","-16.8","1","",,NA,"112.2","4",NA,"","10","",,NA,"615.2","0.0","8205992"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","-0.8","0","0.0","12.0","0","-20.5","0","35.0","0","96.0","106.1","0","102.0","0.0","13","","",NA,"583.7","0.0","8206222"
"WESTERN HEAD","43.990","-64.664","NS","0.3","0",NA,"8.9","0","-13.7","0","",,NA,"72.8","0",NA,"","7","",,NA,"548.8","0.0","8206240"
"WRECK COVE BROOK","46.533","-60.450","NS","-2.4","0","0.3","7.0","0","-19.0","0","62.0","1",NA,"205.0","1",NA,"0.0","13","","",NA,"631.4","0.0","8206450"
"YARMOUTH A","43.831","-66.089","NS","0.0","0","-0.3","10.9","0","-10.7","0","24.6","0","82.0","101.4","0","88.0","0.0","9","190.2","0","134.0","557.8","0.0","8206500"
