"Environment and Climate Change Canada"
"Monthly Values for April - 2012"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","6.0","0",NA,"15.0","0","-1.7","0","",,NA,"70.6","1",NA,"","7","",,NA,"358.6","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","4.6","0",NA,"12.6","0","-2.1","0","",,NA,"",,NA,"","","",,NA,"401.2","0.0","8200558"
"BRIDGETOWN","44.833","-65.300","NS","",,NA,"",,"",,"10.0","0",NA,"67.8","0",NA,"","7","","",NA,"","","8200596"
"BRIER ISLAND","44.286","-66.347","NS","7.2","0",NA,"16.7","0","0.1","0","",,NA,"91.3","0",NA,"","7","",,NA,"323.9","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","6.2","0",NA,"19.7","0","-3.8","0","",,NA,"46.9","0",NA,"","9","",,NA,"355.1","0.0","8200774"
"CHARLESVILLE","43.583","-65.783","NS","",,"","",,"-3.5","4","0.0","4",NA,"54.5","4",NA,"","6","","",NA,"","","8200810"
"CHETICAMP CS","46.645","-60.947","NS","6.8","0",NA,"24.3","0","-6.5","0","",,NA,"51.1","0",NA,"","12","",,NA,"335.9","0.7","8200827"
"CHETICAMP SNOW","46.633","-60.950","NS","",,NA,"",,"",,"6.0","1",NA,"7.6","1",NA,"","2","","",NA,"","","8200830"
"COLLEGEVILLE","45.483","-62.017","NS","3.4","0","-0.1","18.5","0","-8.0","0","5.2","0","41.0","50.8","0","54.0","","14","","",NA,"437.7","0.0","8201000"
"DEBERT","45.417","-63.467","NS","5.2","1",NA,"20.2","1","-8.5","0","",,NA,"62.3","0",NA,"","9","",,NA,"370.4","0.0","8201390"
