"Environment and Climate Change Canada"
"Monthly Values for May - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","7.8","1",NA,"17.1","1","1.2","0","",,NA,"51.4","2",NA,"","5","",,NA,"306.6","0.0","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","6.9","1",NA,"18.4","1","0.5","0","",,NA,"",,NA,"","","",,NA,"334.1","0.0","8200558"
"BERWICK","45.083","-64.733","NS","12.8","5",NA,"29.0","5","-1.0","5","0.0","5",NA,"62.5","5",NA,"","9","","",NA,"144.2","8.5","8200578"
"BRIER ISLAND","44.286","-66.347","NS","9.1","0",NA,"16.5","0","2.5","0","",,NA,"58.8","1",NA,"","7","",,NA,"276.9","0.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","10.8","0",NA,"30.4","0","-0.1","0","",,NA,"50.4","0",NA,"","9","",,NA,"229.6","6.7","8200774"
"CHARLESVILLE","43.583","-65.783","NS","8.5","4","-0.4","17.0","4","-1.5","4","0.0","4",NA,"0.0","4",NA,"","0","","",NA,"257.1","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","9.8","0",NA,"28.6","0","-2.5","0","",,NA,"84.5","1",NA,"","9","",,NA,"260.4","5.4","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","12.0","0","2.7","35.0","0","-4.0","0","0.0","0","0.0","0.0","0","0.0","","0","","",NA,"194.8","8.5","8201000"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","9.8","0",NA,"31.0","0","-6.9","0","",,NA,"50.2","0",NA,"","5","",,NA,"261.1","6.8","8201001"
"DEBERT","45.417","-63.467","NS","10.2","1",NA,"27.7","1","-3.9","1","",,NA,"76.0","2",NA,"","8","",,NA,"234.0","1.4","8201390"
