"Environment and Climate Change Canada"
"Monthly Values for June - 2008"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","11.9","0",NA,"24.2","0","5.4","0","",,NA,"24.4","1",NA,"","6","",,NA,"184.4","0.0","8200255"
"BADDECK BELL","46.100","-60.750","NS","14.3","3",NA,"26.5","3","4.5","3","0.0","3",NA,"62.8","3",NA,"0.0","12","","",NA,"103.7","4.3","8200301"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","12.1","16",NA,"24.0","16","7.6","16","",,NA,"",,NA,"","","",,NA,"83.2","0.1","8200558"
"BERWICK","45.083","-64.733","NS","17.0","1",NA,"29.5","1","4.0","1","0.0","1",NA,"31.8","1",NA,"","6","","",NA,"44.7","16.7","8200578"
"BRIDGETOWN","44.833","-65.300","NS","",,NA,"",,"",,"0.0","0",NA,"30.6","0",NA,"","6","","",NA,"","","8200596"
"BRIDGEWATER","44.400","-64.550","NS","16.9","0","1.4","31.0","0","4.0","0","0.0","0",NA,"62.6","0","60.0","","8","","",NA,"51.7","19.2","8200600"
"BRIER ISLAND","44.286","-66.347","NS","13.9","0",NA,"25.4","0","8.1","0","",,NA,"66.7","1",NA,"","6","",,NA,"122.2","0.2","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","15.0","2",NA,"27.1","1","6.4","2","",,NA,"69.8","2",NA,"","10","",,NA,"92.1","8.9","8200774"
"CHARLESVILLE","43.583","-65.783","NS","12.2","2","-0.5","22.0","2","4.0","2","0.0","2",NA,"14.1","2",NA,"","2","","",NA,"162.3","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","14.8","0",NA,"28.7","0","3.0","0","",,NA,"104.3","0",NA,"","12","",,NA,"105.7","10.2","8200827"
