"Environment and Climate Change Canada"
"Monthly Values for July - 2008"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","13.1","0",NA,"19.8","0","8.6","0","",,NA,"247.7","0",NA,"","3","",,NA,"151.4","0.0","8200255"
"BADDECK BELL","46.100","-60.750","NS","20.8","1",NA,"31.0","1","9.5","1","0.0","1",NA,"115.7","1",NA,"","11","","",NA,"1.9","86.3","8200301"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","15.2","0",NA,"21.7","0","9.9","0","",,NA,"",,NA,"","","",,NA,"88.2","1.5","8200558"
"BERWICK","45.083","-64.733","NS","21.2","2",NA,"32.0","2","6.5","2","0.0","2",NA,"53.6","2",NA,"","7","","",NA,"0.7","93.3","8200578"
"BRIDGETOWN","44.833","-65.300","NS","",,NA,"",,"",,"0.0","0",NA,"60.4","0",NA,"","6","","",NA,"","","8200596"
"BRIDGEWATER","44.400","-64.550","NS","21.9","0","2.8","33.0","0","8.5","0","0.0","0",NA,"70.4","0","73.0","","6","","",NA,"0.7","120.4","8200600"
"BRIER ISLAND","44.286","-66.347","NS","17.1","0",NA,"27.0","0","9.6","0","",,NA,"86.4","0",NA,"","5","",,NA,"37.6","8.9","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","20.9","0",NA,"30.9","0","13.9","0","",,NA,"40.3","0",NA,"","8","",,NA,"0.4","91.7","8200774"
"CHARLESVILLE","43.583","-65.783","NS","15.3","1","0.2","25.5","1","6.0","1","0.0","1",NA,"25.7","1",NA,"","5","","",NA,"84.7","4.4","8200810"
"CHETICAMP CS","46.645","-60.947","NS","20.8","0",NA,"31.9","0","9.6","0","",,NA,"94.2","0",NA,"","6","",,NA,"3.7","91.1","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","20.9","0","2.6","33.0","0","7.0","0","1.2","0",NA,"139.7","0","161.0","0.0","10","","",NA,"8.0","96.8","8201000"
"DEBERT","45.417","-63.467","NS","19.9","1",NA,"29.8","1","7.8","1","",,NA,"94.8","1",NA,"","12","",,NA,"2.2","60.4","8201390"
"DEMING","45.216","-61.178","NS","16.5","0","1.4","22.5","0","10.5","0","0.0","0",NA,"107.6","0","106.0","0.0","9","","",NA,"56.7","9.2","8201410"
"GREENWOOD A","44.983","-64.917","NS","21.8","0","2.2","32.9","0","9.5","0","0.0","0",NA,"57.0","0","69.0","0.0","8","",,NA,"0.0","118.9","8202000"
"HALIFAX STANFIELD INT'L A","44.883","-63.517","NS","20.6","0","1.8","31.6","0","12.4","0","0.0","0",NA,"79.5","0","83.0","0.0","8","",,NA,"0.4","80.2","8202250"
"HART ISLAND (AUT)","45.350","-60.983","NS","18.4","0",NA,"25.9","0","11.6","0","",,NA,"",,NA,"","","",,NA,"12.2","23.3","8202318"
"INGONISH BEACH CS","46.667","-60.400","NS","20.7","0",NA,"31.8","0","9.5","0","",,NA,"92.6","0",NA,"","10","",,NA,"6.5","91.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","21.1","0",NA,"31.1","0","11.0","0","",,NA,"73.0","1",NA,"","8","",,NA,"0.2","97.0","8202592"
"KENTVILLE CDA","45.067","-64.483","NS","","","","","","","","","",NA,"","",NA,"","","245.1","0","104.0","","","8202800"
"KENTVILLE CDA CS","45.067","-64.483","NS","21.2","0",NA,"32.4","0","11.0","0","",,NA,"49.4","0",NA,"","7","",,NA,"0.0","99.5","8202810"
"LAKE MAJOR","44.717","-63.483","NS","20.5","16",NA,"29.0","16","12.5","16","0.0","16",NA,"18.0","16",NA,"0.0","5","","",NA,"1.0","37.8","8202896"
"LOUISBOURG","45.900","-60.000","NS","12.1","0","-4.2","30.0","0","1.0","0","0.0","0",NA,"62.7","0","58.0","","10","130.4","0","71.0","186.7","2.8","8203161"
"LYONS BROOK","45.658","-62.797","NS","21.6","13","2.3","31.5","12","13.0","13","0.0","0",NA,"47.0","0","61.0","0.0","9","","",NA,"0.0","65.5","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","20.9","0","2.5","33.0","0","7.5","0","0.0","0",NA,"88.6","0","85.0","","8","","",NA,"1.0","92.3","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","19.7","1",NA,"29.3","1","9.2","0","",,NA,"79.4","1",NA,"","6","",,NA,"2.1","53.5","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","19.8","0",NA,"29.5","0","11.5","0","",,NA,"66.5","0",NA,"","8","",,NA,"15.2","72.3","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","20.2","0",NA,"31.3","0","6.3","0","",,NA,"61.7","0",NA,"","9","",,NA,"2.9","72.5","8204193"
"PARRSBORO","45.413","-64.347","NS","17.9","0",NA,"28.1","0","5.9","0","",,NA,"49.5","1",NA,"","6","",,NA,"22.0","18.9","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","19.7","24","1.2","27.0","24","14.5","24","0.0","24",NA,"58.7","24",NA,"","6","","",NA,"0.2","11.8","8204453"
"POINT ACONI","46.317","-60.333","NS","20.8","0",NA,"31.8","0","7.4","0","0.0","0",NA,"85.6","0",NA,"0.0","4","","",NA,"3.7","91.7","8204456"
"HAWKESBURY","45.617","-61.367","NS","21.5","0",NA,"31.8","0","10.6","0","0.0","0",NA,"91.5","0",NA,"0.0","10","","",NA,"0.0","108.2","8204493"
"PUGWASH","45.843","-63.655","NS","20.8","13","1.0","31.0","13","8.0","13","0.0","13",NA,"45.3","13",NA,"0.0","6","","",NA,"2.5","52.5","8204525"
"SABLE ISLAND","43.932","-60.009","NS","16.8","0",NA,"22.3","0","11.1","0","",,NA,"64.5","1",NA,"","9","107.1","0",NA,"45.7","9.2","8204700"
"ST MARGARET'S BAY","44.700","-63.900","NS","19.3","0","1.6","28.5","0","10.0","0","0.0","0",NA,"105.4","0","110.0","","9","","",NA,"5.1","46.0","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","18.4","0",NA,"24.9","0","12.1","0","",,NA,"",,NA,"","","",,NA,"17.6","29.8","8204909"
"SALMON HOLE","44.933","-64.033","NS","22.2","0","2.6","32.0","0","11.0","0","0.0","0",NA,"70.6","0","82.0","","7","","",NA,"0.0","128.9","8205000"
"SHEARWATER AUTO","44.636","-63.507","NS","18.7","0",NA,"28.9","0","11.8","0","",,NA,"145.9","0",NA,"","8","",,NA,"10.9","33.2","8205091"
"SHEARWATER RCS","44.630","-63.513","NS","19.5","1",NA,"29.2","1","12.5","1","",,NA,"145.5","1",NA,"","9","",,NA,"3.2","48.2","8205092"
"SOUTH SIDE HARBOUR","45.617","-61.900","NS","21.5","1",NA,"31.0","1","11.9","1","0.0","1",NA,"95.7","1",NA,"","9","","",NA,"0.3","105.4","8205193"
"SYDNEY A","46.167","-60.048","NS","20.2","0","2.3","30.6","0","7.8","0","0.0","0",NA,"64.8","0","73.0","0.0","9","",,NA,"6.7","75.3","8205700"
