"Environment and Climate Change Canada"
"Monthly Values for August - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","16.2","0",NA,"27.2","0","10.7","0","",,NA,"20.2","0",NA,"","6","",,NA,"58.9","3.5","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","18.4","0",NA,"24.2","0","13.2","0","",,NA,"",,NA,"","","",,NA,"8.8","21.0","8200558"
"BRIER ISLAND","44.286","-66.347","NS","16.7","0",NA,"24.9","0","12.3","0","",,NA,"42.1","3",NA,"","6","",,NA,"42.7","3.2","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","19.7","0",NA,"29.7","0","13.4","0","",,NA,"75.3","0",NA,"","8","",,NA,"5.0","57.9","8200774"
"CHARLESVILLE","43.583","-65.783","NS","",,"","",,"7.0","3","0.0","3",NA,"0.0","3",NA,"","0","","",NA,"","","8200810"
"CHETICAMP CS","46.645","-60.947","NS","17.5","0",NA,"28.2","0","8.3","0","",,NA,"65.3","0",NA,"","7","",,NA,"39.3","25.3","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","18.4","1","0.3","29.0","1","5.0","1","0.0","1",NA,"0.0","1",NA,"","0","","",NA,"19.0","31.0","8201000"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","17.2","0",NA,"29.3","0","3.8","0","",,NA,"101.9","0",NA,"","10","",,NA,"47.5","22.1","8201001"
"DEBERT","45.417","-63.467","NS","18.4","0",NA,"28.6","0","7.2","0","",,NA,"116.0","0",NA,"","7","",,NA,"15.0","26.4","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","18.5","1",NA,"25.8","1","9.9","0","",,NA,"84.1","1",NA,"","7","",,NA,"16.6","32.0","8201780"
"GREENWOOD A","44.983","-64.917","NS","20.0","0","1.1","32.0","0","7.8","0","0.0","0",NA,"65.2","0","83.0","0.0","5","",,NA,"2.9","66.3","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","19.6","0",NA,"29.0","0","10.4","0","0.0","0",NA,"44.5","0",NA,"","6","",,NA,"2.2","50.3","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","18.9","0",NA,"23.8","0","12.9","0","",,NA,"",,NA,"","","",,NA,"5.5","34.5","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","18.5","1",NA,"29.2","1","7.7","0","",,NA,"97.9","1",NA,"","9","",,NA,"22.3","35.8","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","20.0","0",NA,"30.8","0","8.5","0","",,NA,"61.1","0",NA,"","5","",,NA,"3.2","64.0","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","19.7","0",NA,"30.5","0","9.7","0","",,NA,"56.6","0",NA,"","4","",,NA,"3.1","56.6","8202810"
"LAKE MAJOR","44.717","-63.483","NS","20.3","7",NA,"30.0","7","11.0","7","0.0","7",NA,"44.0","7",NA,"0.0","5","","",NA,"1.0","56.0","8202896"
"LYONS BROOK","45.658","-62.797","NS","20.0","17","0.9","31.0","17","9.5","17","0.0","17",NA,"20.4","17",NA,"","4","","",NA,"3.4","31.6","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","18.8","0","0.5","30.5","0","6.0","0","0.0","0",NA,"50.6","0","55.0","","7","","",NA,"11.1","37.1","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","18.6","0",NA,"27.2","0","8.4","0","",,NA,"95.4","0",NA,"","7","",,NA,"13.1","31.9","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","",,NA,"",,"",,"",,NA,"68.6","0",NA,"","10","",,NA,"","","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","18.1","0",NA,"30.3","0","6.0","0","",,NA,"55.3","0",NA,"","6","",,NA,"17.8","22.3","8204193"
"PARRSBORO","45.413","-64.347","NS","17.6","0",NA,"26.5","0","6.8","0","",,NA,"99.6","0",NA,"","6","",,NA,"23.6","11.4","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","19.9","14","1.4","27.5","14","12.0","14","0.0","14",NA,"40.4","14",NA,"0.0","5","","",NA,"0.5","33.2","8204453"
"PORT HAWKESBURY","45.657","-61.368","NS","17.0","9",NA,"27.3","9","7.6","9","",,NA,"84.8","9",NA,"","7","",,NA,"33.4","12.4","8204495"
"SABLE ISLAND","43.932","-60.009","NS","18.6","3",NA,"24.3","2","8.3","1","",,NA,"88.0","3",NA,"","7","",,NA,"12.2","27.9","8204700"
"SABLE ISLAND A","43.946","-59.960","NS","18.6","9",NA,"23.9","9","8.1","9","",,NA,"53.5","9",NA,"","6","",,NA,"9.7","23.9","8204703"
"ST MARGARET'S BAY","44.700","-63.900","NS","19.6","0","1.6","29.0","0","9.0","0","0.0","0",NA,"53.0","0","63.0","0.0","5","","",NA,"5.0","53.9","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","18.4","7",NA,"25.0","4","12.1","4","",,NA,"",,NA,"","","",,NA,"13.4","23.4","8204909"
"SHEARWATER RCS","44.630","-63.513","NS","19.9","0",NA,"28.0","0","11.6","0","",,NA,"58.7","0",NA,"","5","",,NA,"1.0","60.2","8205092"
"SYDNEY A","46.161","-60.048","NS","17.7","0",NA,"27.6","0","6.8","0","0.0","0",NA,"66.8","0",NA,"","9","",,NA,"35.2","26.8","8205701"
"SYDNEY CS","46.163","-60.042","NS","18.0","7",NA,"28.4","7","7.1","6","",,NA,"81.7","7",NA,"","14","",,NA,"23.6","22.5","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","18.9","0",NA,"30.0","0","7.0","0","0.0","0",NA,"110.4","0",NA,"0.0","12","","",NA,"18.5","47.2","8205774"
"TRACADIE","45.608","-61.680","NS","18.6","0",NA,"29.7","0","9.2","0","",,NA,"96.1","0",NA,"","9","",,NA,"22.8","40.5","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","20.3","0","1.2","31.5","0","8.0","0","0.0","0",NA,"70.2","0","93.0","0.0","6","","",NA,"3.0","73.7","8206222"
"WESTERN HEAD","43.990","-64.664","NS","18.8","0",NA,"30.3","0","9.8","0","",,NA,"43.2","0",NA,"","4","",,NA,"12.9","37.6","8206240"
"WHITE ROCK","45.050","-64.383","NS","",,NA,"",,"",,"0.0","26",NA,"80.2","26",NA,"","5","","",NA,"","","8206316"
"YARMOUTH RCS","43.831","-66.088","NS","18.7","0",NA,"27.8","0","11.3","0","",,NA,"16.4","0",NA,"","5","",,NA,"8.5","28.8","8206491"
"YARMOUTH A","43.827","-66.088","NS","18.5","1",NA,"28.3","1","11.3","0","0.0","0",NA,"19.8","0",NA,"","5","",,NA,"10.4","26.4","8206495"
