"Environment and Climate Change Canada"
"Monthly Values for September - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BACCARO PT","43.451","-65.472","NS","15.7","0",NA,"24.1","0","6.2","0","",,NA,"62.7","0",NA,"","5","",,NA,"69.1","1.3","8200255"
"BEAVER ISLAND (AUT)","44.817","-62.333","NS","16.8","15",NA,"21.8","15","10.5","15","",,NA,"",,NA,"","","",,NA,"19.5","1.8","8200558"
"BERWICK","45.083","-64.733","NS","13.1","22",NA,"24.0","22","-2.0","22","0.0","22",NA,"5.0","22",NA,"","1","","",NA,"39.0","0.0","8200578"
"BRIER ISLAND","44.286","-66.347","NS","15.8","0",NA,"23.8","0","9.3","0","",,NA,"156.2","1",NA,"","4","",,NA,"67.2","1.0","8200604"
"CARIBOU POINT (AUT)","45.767","-62.683","NS","17.9","0",NA,"29.8","0","6.2","0","",,NA,"31.7","0",NA,"","5","",,NA,"37.7","34.7","8200774"
"CHARLESVILLE","43.583","-65.783","NS","12.8","29","-1.4","13.0","29","2.5","3","0.0","3",NA,"0.0","3",NA,"","0","","",NA,"5.2","0.0","8200810"
"CHETICAMP CS","46.645","-60.947","NS","16.2","0",NA,"27.2","0","5.3","0","",,NA,"56.8","0",NA,"","7","",,NA,"74.0","20.9","8200827"
"COLLEGEVILLE","45.483","-62.017","NS","16.9","0","3.0","29.0","0","2.0","0","0.0","0",NA,"0.0","0","0.0","","0","","",NA,"63.9","30.5","8201000"
"COLLEGEVILLE AUTO","45.491","-62.015","NS","15.1","0",NA,"29.6","0","-2.8","0","",,NA,"82.2","1",NA,"","7","",,NA,"101.3","13.2","8201001"
"DEBERT","45.417","-63.467","NS","15.7","0",NA,"27.8","0","-1.3","0","",,NA,"85.7","0",NA,"","9","",,NA,"83.3","14.1","8201390"
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","45.921","-60.647","NS","16.6","0",NA,"25.8","0","4.4","0","",,NA,"29.4","1",NA,"","4","",,NA,"59.2","16.5","8201780"
"GREENWOOD A","44.983","-64.917","NS","17.1","0","2.6","31.0","0","0.9","0","0.0","0",NA,"161.8","0","168.0","0.0","4","",,NA,"61.8","35.4","8202000"
"HALIFAX INTL A","44.881","-63.509","NS","17.2","0",NA,"29.2","0","5.2","0","0.0","0",NA,"75.6","2",NA,"","6","",,NA,"54.6","29.2","8202251"
"HART ISLAND (AUT)","45.350","-60.983","NS","17.1","0",NA,"26.6","0","6.6","0","",,NA,"",,NA,"","","",,NA,"43.6","17.2","8202318"
"INGONISH BEACH RCS","46.663","-60.406","NS","16.1","0",NA,"29.2","0","1.4","0","",,NA,"35.2","0",NA,"","6","",,NA,"78.2","22.0","8202502"
"KEJIMKUJIK 1","44.403","-65.203","NS","17.1","2",NA,"28.8","2","-0.2","0","",,NA,"45.8","2",NA,"","4","",,NA,"58.3","33.4","8202592"
"KENTVILLE CDA CS","45.067","-64.483","NS","17.0","0",NA,"30.1","0","1.3","0","",,NA,"114.4","0",NA,"","5","",,NA,"59.9","30.8","8202810"
"LAKE MAJOR","44.717","-63.483","NS","18.1","5",NA,"30.5","5","6.0","5","0.0","5",NA,"28.2","5",NA,"0.0","7","","",NA,"30.4","32.5","8202896"
"LYONS BROOK","45.658","-62.797","NS","18.8","12","4.0","30.0","12","6.0","12","0.0","12",NA,"45.5","12",NA,"","7","","",NA,"18.7","32.9","8203230"
"MIDDLE MUSQUODOBOIT","45.067","-63.100","NS","16.5","0","2.3","29.5","0","-2.0","0","0.0","0",NA,"86.6","0","78.0","","8","","",NA,"70.5","25.1","8203535"
"NAPPAN AUTO","45.760","-64.241","NS","16.0","0",NA,"27.1","0","1.3","0","",,NA,"85.2","0",NA,"","3","",,NA,"80.4","20.7","8203702"
"NORTH MOUNTAIN CS","46.817","-60.672","NS","",,NA,"",,"",,"",,NA,"79.0","0",NA,"","8","",,NA,"","","8204161"
"UPPER STEWIACKE RCS","45.233","-63.055","NS","15.1","3",NA,"32.6","3","-3.3","0","",,NA,"48.9","1",NA,"","5","",,NA,"89.1","10.4","8204193"
"PARRSBORO","45.413","-64.347","NS","15.3","0",NA,"25.9","0","-0.4","0","",,NA,"105.8","0",NA,"","5","",,NA,"91.7","11.9","8204402"
"POCKWOCK LAKE","44.767","-63.833","NS","17.8","9","3.2","29.0","9","7.5","9","0.0","9",NA,"63.1","9",NA,"","6","","",NA,"24.5","19.7","8204453"
"PORT HAWKESBURY","45.657","-61.368","NS","15.9","0",NA,"29.0","0","2.0","0","",,NA,"61.4","0",NA,"","7","",,NA,"78.7","16.5","8204495"
"SABLE ISLAND","43.932","-60.009","NS","17.9","2",NA,"23.4","1","8.0","1","",,NA,"26.5","2",NA,"","6","",,NA,"25.6","21.6","8204700"
"SABLE ISLAND A","43.946","-59.960","NS","17.6","3",NA,"23.3","3","7.9","2","",,NA,"24.4","3",NA,"","5","",,NA,"26.5","15.9","8204703"
"ST MARGARET'S BAY","44.700","-63.900","NS","19.0","0","4.8","32.0","0","4.5","0","0.0","0",NA,"91.0","0","89.0","0.0","5","","",NA,"26.2","57.5","8204800"
"ST PAUL ISLAND (AUT)","47.233","-60.144","NS","16.2","0",NA,"23.9","0","8.2","0","",,NA,"",,NA,"","","",,NA,"62.1","6.8","8204909"
"SHEARWATER RCS","44.630","-63.513","NS","17.6","0",NA,"29.8","0","4.9","0","",,NA,"30.3","0",NA,"","5","",,NA,"42.7","29.9","8205092"
"SYDNEY A","46.161","-60.048","NS","16.3","0",NA,"28.0","0","1.8","0","0.0","0",NA,"32.8","1",NA,"","7","",,NA,"68.9","17.4","8205701"
"SYDNEY CS","46.163","-60.042","NS","16.4","0",NA,"28.1","0","1.8","0","",,NA,"27.7","1",NA,"","4","",,NA,"66.8","18.3","8205702"
"TATAMAGOUCHE","45.683","-63.233","NS","17.3","0",NA,"30.0","0","-0.5","0","0.0","0",NA,"89.6","0",NA,"0.0","6","","",NA,"54.6","32.2","8205774"
"TRACADIE","45.608","-61.680","NS","17.1","0",NA,"29.0","0","5.7","0","",,NA,"118.7","1",NA,"","8","",,NA,"57.5","29.6","8205895"
"WATERVILLE CAMBRIDGE","45.050","-64.650","NS","17.6","0","2.7","30.5","0","0.0","0","0.0","0",NA,"154.1","0","151.0","0.0","6","","",NA,"59.4","46.1","8206222"
"WESTERN HEAD","43.990","-64.664","NS","16.4","0",NA,"28.4","0","3.8","0","",,NA,"83.8","0",NA,"","5","",,NA,"57.9","9.0","8206240"
"YARMOUTH RCS","43.831","-66.088","NS","16.9","0",NA,"24.4","0","2.5","0","",,NA,"109.2","0",NA,"","4","",,NA,"50.9","17.4","8206491"
"YARMOUTH A","43.827","-66.088","NS","16.9","0",NA,"23.9","0","3.1","0","0.0","1",NA,"113.2","0",NA,"","5","",,NA,"50.0","16.7","8206495"
