"Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Year"
5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,2005
7.5,1.73,1.64,19.64,1.68,-3.39,1.68,13.37,4.02,42.99,93.85,2.37,97.29,1.78,9.96,124.89,5.96,104.25,307.92,7.89,2006
6.12,2.49,-0.2,19.51,2.43,-5.94,2.26,14.65,5.01,83.33,90.05,2.77,89.23,4.75,9.09,147.44,2.4,105,338.54,7.24,2007
7.68,2.37,0.75,19.89,2.32,-3.83,2.24,15.34,6.51,83.26,111.63,2.23,106.1,5.42,10.67,138.73,0.03,97.06,296.38,8.66,2008
6.72,1.95,0.19,19.71,1.9,-4.99,1.84,17.47,4.78,56.2,106.96,1.96,105.29,8.99,10.49,104.29,10.06,90.4,327.4,8.08,2009
8.04,2.08,1.69,20.48,2.01,-3.08,1.96,12.41,5.18,49.71,108.04,2.45,111.2,4.22,10.12,104.29,10.06,105,292.86,10.83,2010
7.99,2.52,1.1,19.79,2.31,-3.34,2.3,12.04,2.97,62.38,116.22,2.23,120.86,5.84,10.52,124.89,0.03,97.06,283.61,7.14,2011
8.39,2.35,1.82,21.03,2.24,-3.18,2.05,11.17,3.69,62.38,93.5,2.63,88.99,6.8,9.5,147.44,2.4,97.06,282.3,11.83,2012
6.89,2.65,0.79,19.54,2.52,-5.02,2.43,15.03,4.92,64.67,96.29,3.24,95.67,10.97,10.18,104.29,10.06,105,314.53,9.13,2013
7.22,1.76,0.75,19.9,1.69,-5.16,1.55,14.93,2.74,81.13,107.58,2.77,101.7,9.8,9.98,104.29,5.96,97.06,318.71,8.59,2014
6.5,1.9,0.12,18.61,1.83,-5.48,1.52,26.33,2.98,101.1,102.22,2.17,92.46,19.87,9.71,104.29,5.96,97.06,337,9.81,2015
7.4,2.21,0.81,20.02,2.08,-4.32,1.64,15.57,4.21,64.07,92.59,2.63,77.02,7.32,9.74,124.89,2.17,90.4,307.6,9.11,2016
7.47,1.99,1.33,20.43,1.88,-4.78,1.58,20.82,2.34,83.26,93.63,2.27,96.96,8.84,9.5,138.73,5.96,104.15,307.48,7.46,2017
