"Year","Disease","Number","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Avg_case","Med_case","Above_Avg","Above_Med"
2005,"Acquired Immune Deficiency Syndrome",5,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,3.76923076923077,3,"Yes","Yes"
2005,"Acute Flaccid Paralysis",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.0769230769230769,0,"No","No"
2005,"Amebiasis",10,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,5.76923076923077,6,"Yes","Yes"
2005,"Botulism",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.0769230769230769,0,"No","No"
2005,"Campylobacteriosis",125,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,158.307692307692,159,"No","No"
2005,"Chlamydia",1745,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,2343.53846153846,2466,"No","No"
2005,"Clostridium difficile",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,337.230769230769,0,"No","No"
2005,"Creutzfeldt-Jakob Disease - Classic",1,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,1.38461538461538,1,"No","No"
2005,"Cryptosporidiosis",18,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,19.3076923076923,18,"No","No"
2005,"Cyclosporiasis",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,1.53846153846154,2,"No","No"
2005,"Encephalitis - Viral",1,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.923076923076923,1,"Yes","No"
2005,"Giardiasis",108,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,89.4615384615385,93,"Yes","Yes"
2005,"Gonorrhea",104,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,126.153846153846,113,"No","No"
2005,"Group A Streptococcal Disease Invasive",26,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,6.38461538461539,0,"Yes","Yes"
2005,"Group A Streptococcal Disease Invasive -> Severe",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,6.30769230769231,7,"No","No"
2005,"Group A Streptococcal Disease Invasive -> non-Severe",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,9.92307692307692,12,"No","No"
2005,"Group B Streptococcal Disease of the Newborn",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,2.15384615384615,2,"No","No"
2005,"Haemophilus influenzae Type b Invasive Disease",1,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.538461538461538,1,"Yes","No"
2005,"Hepatitis A",5,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,4.76923076923077,3,"Yes","Yes"
2005,"Hepatitis B - Acute",10,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,6,6,"Yes","Yes"
2005,"Hepatitis B - Chronic",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,9.61538461538461,11,"No","No"
2005,"Hepatitis B - Chronic or Unspecified",22,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,6.30769230769231,0,"Yes","Yes"
2005,"Hepatitis C",250,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,275.153846153846,281,"No","No"
2005,"Hepatitis E",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.0769230769230769,0,"No","No"
2005,"Human Immunodeficiency Virus",21,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,17.0769230769231,17,"Yes","Yes"
2005,"Legionellosis",2,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,2.15384615384615,1,"No","Yes"
2005,"Listeriosis - Invasive",5,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,5.23076923076923,5,"No","No"
2005,"Lyme Disease - Confirmed",2,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,68.9230769230769,35,"No","No"
2005,"Lyme Disease - Probable",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,54,17,"No","No"
2005,"Lymphogranuloma Venereum",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.153846153846154,0,"No","No"
2005,"Malaria",3,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,3.07692307692308,3,"No","No"
2005,"Meningitis - Bacterial",4,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,1.84615384615385,2,"Yes","Yes"
2005,"Meningitis - Viral",6,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,10.8461538461538,6,"No","No"
2005,"Meningococcal Disease Invasive",2,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,3.92307692307692,4,"No","No"
2005,"Methicillin Resistant Staphylococcus Aureus",759,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,784.769230769231,838,"No","No"
2005,"Mumps",30,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,51.4615384615385,2,"No","Yes"
2005,"Pertussis",25,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,30.9230769230769,22,"No","Yes"
2005,"Pneumococcal Disease Invasive",27,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,41.6923076923077,49,"No","No"
2005,"Q-Fever",5,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,3,2,"Yes","Yes"
2005,"Rubella",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.0769230769230769,0,"No","No"
2005,"Salmonellosis",123,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,146.076923076923,145,"No","No"
2005,"Shellfish Poisoning",1,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.0769230769230769,0,"Yes","Yes"
2005,"Shigellosis",19,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,8.92307692307692,10,"Yes","Yes"
2005,"Syphilis - Infectious",5,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,30.2307692307692,22,"No","No"
2005,"Syphilis - Non-Infectious or Stage Pending",10,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,13.7692307692308,10,"No","No"
2005,"Tetanus",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,0.0769230769230769,0,"No","No"
2005,"Toxoplasmosis",0,5.58,0.95,0.38,18.58,0.75,-6.3,0.68,25.59,0.47,73.82,110.81,0.9,106.65,8.37,10.25,149.94,2.17,104.15,371.39,8.05,1.38461538461538,1,"No","No"
